P,T,P,Isp,P,Efficiency
126.2294113,0.001977611,126.5306046,208.2297709,125.4574876,1.661399543
172.9508561,0.002425374,170.6121297,256.8580235,170.715311,1.932280081
222.131186,0.003059701,222.0406691,320.4492105,215.9733375,2.293451835
273.7704949,0.003656716,273.4693954,384.0401122,269.2179312,2.609480995
322.9508248,0.004216417,327.3468773,451.3718901,322.4625249,2.993227491
381.9672582,0.005261194,383.6734885,559.8505961,378.3693076,3.851016005
499.9999375,0.006791046,501.224409,720.6985737,500.8318325,4.799096597
674.5900712,0.00880597,672.6529982,993.7658483,671.214573,6.717832522
824.5902275,0.010970149,677.55107,941.3967194,676.5389511,6.108352387
1109.836104,0.014850747,829.3877457,1169.576332,668.5523839,6.176072307
1254.918114,0.01597015,1113.46937,1584.788202,822.9615838,7.643340955
1340.983692,0.016828359,1255.510276,1697.007641,1110.482471,10.46501143
1368.032836,0.01727612,1338.775628,1798.005166,1254.242915,10.64559817
1611.475506,0.018955224,1373.061197,1839.152308,1336.771994,11.11963804
1668.032773,0.020485074,1613.061296,2022.444045,1371.381061,11.41309245
1702.459042,0.021007463,1666.938778,2183.29188,1608.319341,11.70654644
672.1310922,0.009253729,1698.775778,2239.4016,1664.226327,13.15124164
,,,,1698.835191,13.5575618
